Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
IUIT.L,38.07,2025/08/04,19:11 BST,0.5999985,0.0,0.0,0.0,0,20250707,36.91,3500.0,0.0,,,,
IUIT.L,38.07,2025/08/04,19:11 BST,0.5999985,0.0,0.0,0.0,0,20250721,37.76,42.0,0.0,,,,
IUIT.L,38.07,2025/08/04,19:11 BST,0.5999985,0.0,0.0,0.0,0,20250625,35.57,28.0,0.0,,,,
IUIT.L,38.07,2025/08/04,19:11 BST,0.5999985,0.0,0.0,0.0,0,20250625,35.57,45.0,0.0,,,,
IUIT.L,38.07,2025/08/04,19:11 BST,0.5999985,0.0,0.0,0.0,0,20250522,33.01,4424.0,0.0,,,,
IUIT.L,38.07,2025/08/04,19:11 BST,0.5999985,0.0,0.0,0.0,0,20250527,33.14,434.0,0.0,,,,
IUIT.L,38.07,2025/08/04,19:11 BST,0.5999985,0.0,0.0,0.0,0,20250721,37.96,30.0,0.0,,,,
QQQ,564.1,2025/08/04,16:00 EDT,10.22,559.08,564.315,558.95,46678794,20250731,565.5,9.0,0.0,,,,
QQQ,564.1,2025/08/04,16:00 EDT,10.22,559.08,564.315,558.95,46678794,20250723,562.11,4.0,0.0,,,,
QQQ,564.1,2025/08/04,16:00 EDT,10.22,559.08,564.315,558.95,46678794,20250707,554.15,77.0,0.0,,,,
QTUM,92.26,2025/08/04,16:00 EDT,1.81001,91.23,92.26,91.23,464856,20250617,89.01,96.0,0.0,,,,
QTUM,92.26,2025/08/04,16:00 EDT,1.81001,91.23,92.26,91.23,464856,20250527,87.31,190.0,0.0,,,,
QTUM,92.26,2025/08/04,16:00 EDT,1.81001,91.23,92.26,91.23,464856,20250521,87.05,57.0,0.0,,,,
FFH.TO,2401.82,2025/08/01,16:00 EDT,-48.93994,2450.76,2463.78,2380.95,56078,20250528,2370.0,29.0,0.0,,,,
FFH.TO,2401.82,2025/08/01,16:00 EDT,-48.93994,2450.76,2463.78,2380.95,56078,20250625,2502.41,3.0,0.0,,,,
FFH.TO,2401.82,2025/08/01,16:00 EDT,-48.93994,2450.76,2463.78,2380.95,56078,20250618,2434.2,2.0,0.0,,,,
FFH.TO,2401.82,2025/08/01,16:00 EDT,-48.93994,2450.76,2463.78,2380.95,56078,20250515,2256.88,1.0,0.0,,,,
FFH.TO,2401.82,2025/08/01,16:00 EDT,-48.93994,2450.76,2463.78,2380.95,56078,20250522,2289.78,12.0,0.0,,,,
FFH.TO,2401.82,2025/08/01,16:00 EDT,-48.93994,2450.76,2463.78,2380.95,56078,20250513,2234.0,10.0,0.0,,,,